O*NET-SOC CODE	Title	TASKS
11-3031.02	Gerentes financieros de una sucursal o de un departamento	Dirige y coordina actividades para aplicar políticas, procedimientos y prácticas de la institución relacionadas con otorgamientos y extensiones de líneas de crédito y préstamos.
11-3031.02	Gerentes financieros de una sucursal o de un departamento	Prepara informes financieros y reglamentarios que exigen las leyes, disposiciones y el consejo de administración.
11-3031.02	Gerentes financieros de una sucursal o de un departamento	Analiza y clasifica riesgos con respecto a la frecuencia y el impacto financiero del riesgo a la compañía.
11-3031.02	Gerentes financieros de una sucursal o de un departamento	Selecciona la técnica apropiada para minimizar pérdidas tales como evasión, prevención y reducción de pérdidas.
11-3031.02	Gerentes financieros de una sucursal o de un departamento	Prepara informes sobre operaciones y riesgos para su análisis administrativo.
11-3031.02	Gerentes financieros de una sucursal o de un departamento	Dirige las operaciones del piso en un establecimiento por comisión para transacciones de agentes de bolsa encargados de compra y venta de valores en la bolsa de valores.
11-3031.02	Gerentes financieros de una sucursal o de un departamento	Establece procedimientos para proteger y controlar activos, registros, préstamo con garantías especiales y garantías para asegurar la protección.
11-3031.02	Gerentes financieros de una sucursal o de un departamento	Evalúa la efectividad de las políticas y los procedimientos actuales de cobro.
11-3031.02	Gerentes financieros de una sucursal o de un departamento	Dirige negociaciones de seguros; selecciona agentes y compañías de seguros y coloca seguros.
11-3031.02	Gerentes financieros de una sucursal o de un departamento	Evalúa datos sobre costos para planear presupuestos.
11-3031.02	Gerentes financieros de una sucursal o de un departamento	Revisa informes sobre los cobros para determinar la situación de los cobros y saldos pendientes de pago.
11-3031.02	Gerentes financieros de una sucursal o de un departamento	Controla el flujo de solicitudes y operaciones que realiza el establecimiento por comisión para transacciones de agentes de bolsa en el piso de la bolsa de valores.
11-3031.02	Gerentes financieros de una sucursal o de un departamento	Revisa informes de operaciones de títulos de crédito y listas de precios para analizar condiciones del mercado.
11-3031.02	Gerentes financieros de una sucursal o de un departamento	Establece límites de crédito en cuentas de clientes.
11-3031.02	Gerentes financieros de una sucursal o de un departamento	Examina, evalúa y tramita solicitudes de crédito.
11-3031.02	Gerentes financieros de una sucursal o de un departamento	Remite cuentas morosas a abogados o agencias externas para el cobro correspondiente.
11-3040.00	Gerentes de recursos humanos	Formula políticas y procedimientos para contratación, evaluación, colocación, clasificación, orientación, prestaciones y relaciones laborales e industriales.
11-3040.00	Gerentes de recursos humanos	Planea, dirige, supervisa y coordina actividades laborales de subordinados y personal en lo referente a empleo, compensación, relaciones laborales y de empleados.
11-3040.00	Gerentes de recursos humanos	Dirige la preparación y distribución de información escrita y oral para informar a empleados de prestaciones, compensaciones y políticas del personal.
11-3040.00	Gerentes de recursos humanos	Evalúa y modifica políticas de prestaciones para establecer programas competitivos y para asegurar el cumplimiento con las disposiciones legales.
11-3040.00	Gerentes de recursos humanos	Analiza políticas de compensaciones, disposiciones gubernamentales y tasa vigentes de sueldos para desarrollar un plan competitivo de compensaciones.
11-3040.00	Gerentes de recursos humanos	Desarrolla métodos para mejorar políticas, procesos y prácticas laborales; recomienda cambios a la administración.
11-3040.00	Gerentes de recursos humanos	Prepara pronósticos sobre personal para determinar las necesidades laborales.
11-3040.00	Gerentes de recursos humanos	Prepara el presupuesto para las operaciones del personal.
11-3040.00	Gerentes de recursos humanos	Prepara informes y hace presentaciones para directores ejecutivos u otros administradores sobre políticas y prácticas de administración de recursos humanos, así como recomendaciones para hacer cambios.
11-3040.00	Gerentes de recursos humanos	Negocia contratos de trabajo y resuelve disputas laborales.
11-3040.00	Gerentes de recursos humanos	Se reúne con representantes sindicales y supervisores para resolver disputas.
11-3040.00	Gerentes de recursos humanos	Dirige entrevistas de salida para identificar las razones de despidos de empleados y redacta notificaciones de despido.
11-3040.00	Gerentes de recursos humanos	Planea y dirige la orientación de nuevos empleados para fomentar una actitud positiva hacia los objetivos de la empresa.
11-3040.00	Gerentes de recursos humanos	Redacta directrices a gerentes para asesorarlos sobre políticas de la empresa en asuntos como igualdad de oportunidades de trabajo, acoso sexual y discriminación.
11-3040.00	Gerentes de recursos humanos	Estudia la legislación, resoluciones arbitrales y contratos colectivos de trabajo para evaluar las tendencias de la industria.
11-3040.00	Gerentes de recursos humanos	Lleva registros y recopila informes estadísticos sobre datos relacionados con el personal, como contrataciones, transferencias, evaluaciones de desempeño e índices de ausentismo.
11-3040.00	Gerentes de recursos humanos	Analiza datos e informes estadísticos para identificar y determinar las causas de problemas con el personal y hace recomendaciones para mejorar las políticas y prácticas del personal de la empresa.
11-3040.00	Gerentes de recursos humanos	Representa a la compañía en audiencias e investigaciones relacionadas con el personal.
11-3040.00	Gerentes de recursos humanos	Contrata vendedores para prestar servicios a empleados como servicios de comedor, transporte o reubicaciones.
11-3040.00	Gerentes de recursos humanos	Investiga accidentes de trabajo y prepara informes para las aseguradoras.
11-3041.00	Gerentes de indemnizaciones y prestaciones	Formula políticas y procedimientos para contratación, evaluación, colocación, clasificación, orientación, prestaciones y relaciones laborales e industriales.
11-3041.00	Gerentes de indemnizaciones y prestaciones	Planea, dirige, supervisa y coordina actividades laborales de subordinados y personal en lo referente a empleo, compensación, relaciones laborales y de empleados.
11-3041.00	Gerentes de indemnizaciones y prestaciones	Dirige la preparación y distribución de información escrita y oral para informar a empleados de prestaciones, compensaciones y políticas del personal.
11-3041.00	Gerentes de indemnizaciones y prestaciones	Evalúa y modifica políticas de prestaciones para establecer programas competitivos y para asegurar el cumplimiento con las disposiciones legales.
11-3041.00	Gerentes de indemnizaciones y prestaciones	Prepara el presupuesto para operaciones del personal.
11-3041.00	Gerentes de indemnizaciones y prestaciones	Negocia contratos de trabajo y resuelve disputas laborales.
11-3041.00	Gerentes de indemnizaciones y prestaciones	Dirige entrevistas de salida para identificar las razones de despidos de empleados y redacta notificaciones de despido.
11-3041.00	Gerentes de indemnizaciones y prestaciones	Redacta directrices a gerentes para asesorarlos sobre políticas de la empresa en asuntos como igualdad de oportunidades de trabajo, acoso sexual y discriminación.
11-3041.00	Gerentes de indemnizaciones y prestaciones	Lleva registros y recopila informes estadísticos sobre datos relacionados con el personal, por ejemplo, contrataciones, transferencias, evaluaciones de desempeño e índices de ausentismo.
11-3041.00	Gerentes de indemnizaciones y prestaciones	Estudia la legislación, resoluciones arbitrales y contratos colectivos de trabajo para evaluar las tendencias de la industria.
11-3041.00	Gerentes de indemnizaciones y prestaciones	Investiga accidentes de trabajo y prepara informes para las aseguradoras.
11-3041.00	Gerentes de indemnizaciones y prestaciones	Contrata vendedores para prestar servicios a empleados como servicios de comedor, transporte o reubicaciones.
11-3041.00	Gerentes de indemnizaciones y prestaciones	Representa a la empresa en audiencias e investigaciones relacionadas con el personal.
11-3041.00	Gerentes de indemnizaciones y prestaciones	Analiza datos e informes estadísticos para identificar y determinar las causas de problemas con el personal y hacer recomendaciones para mejorar las políticas y prácticas del personal de la empresa.
11-3041.00	Gerentes de indemnizaciones y prestaciones	Planea y dirige la orientación de nuevos empleados para fomentar una actitud positiva hacia los objetivos de la empresa.
11-3041.00	Gerentes de indemnizaciones y prestaciones	Se reúne con representantes sindicales y supervisores para resolver disputas.
11-3041.00	Gerentes de indemnizaciones y prestaciones	Prepara informes y hace presentaciones para directores ejecutivos u otros administradores sobre políticas y prácticas de administración de recursos humanos, así como recomendaciones para hacer cambios.
11-3041.00	Gerentes de indemnizaciones y prestaciones	Prepara pronósticos sobre el personal para determinar las necesidades laborales.
11-3041.00	Gerentes de indemnizaciones y prestaciones	Desarrolla métodos para mejorar políticas, procesos y prácticas laborales; recomienda cambios a la administración.
11-3041.00	Gerentes de indemnizaciones y prestaciones	Analiza políticas de compensaciones, disposiciones gubernamentales y tasas vigentes de sueldos para desarrollar un plan competitivo de compensaciones.
11-3042.00	Gerentes de capacitación y desarrollo	Analiza necesidades de capacitación para desarrollar nuevos programas de capacitación o modificar y mejorar los programas existentes.
11-3042.00	Gerentes de capacitación y desarrollo	Planea y desarrolla procedimientos de capacitación usando conocimientos sobre la efectividad relativa del entrenamiento/capacitación individual, capacitación en el salón, demostraciones, capacitación en el lugar de trabajo, reuniones, conferencias y talle.
11-3042.00	Gerentes de capacitación y desarrollo	Formula políticas y planes de capacitación mediante conocimientos sobre las necesidades de capacitación ya identificadas.
11-3042.00	Gerentes de capacitación y desarrollo	Evalúa la efectividad de programas de capacitación y del desempeño del instructor.
11-3042.00	Gerentes de capacitación y desarrollo	Desarrolla y organiza manuales de capacitación, medios audiovisuales y otros materiales educativos.
11-3042.00	Gerentes de capacitación y desarrollo	Coordina cursos establecidos con cursos técnicos y profesionales impartidos por escuelas de la comunidad y designa procedimientos de capacitación.
11-3042.00	Gerentes de capacitación y desarrollo	Desarrolla procedimientos de prueba y evaluación.
11-3042.00	Gerentes de capacitación y desarrollo	Consulta con personal administrativo y de supervisión para identificar necesidades de capacitación con base en procesos de productos, cambios y otros factores previstos.
11-3042.00	Gerentes de capacitación y desarrollo	Revisa y evalúa que los programas de aprendizaje y capacitación cumplan con las normas gubernamentales.
11-3042.00	Gerentes de capacitación y desarrollo	Prepara el presupuesto de capacitación para un departamento u organización.
11-3042.00	Gerentes de capacitación y desarrollo	Capacita a instructores y supervisores en técnicas de capacitación efectivas.
11-3042.00	Gerentes de capacitación y desarrollo	Explica y aclara políticas oficiales que regulan los programas de capacitación de aprendices; proporciona información y asistencia para aprendices y representantes de obreros y gerentes.
11-3051.00	Gerentes de producción industrial	Dirige y coordina actividades de producción, procesamiento, distribución y mercadotecnia de organizaciones industriales.
11-3051.00	Gerentes de producción industrial	Coordina y recomienda procedimientos para mantenimiento o modificación de equipos e instalaciones.
11-3051.00	Gerentes de producción industrial	Desarrolla presupuestos y aprueba gastos para insumos, materiales y recursos humanos.
11-3051.00	Gerentes de producción industrial	Resuelve quejas del personal.
11-3051.00	Gerentes de producción industrial	Contrata, capacita, evalúa y despide personal.
11-3051.00	Gerentes de producción industrial	Prepara y mantiene informes de producción y registros de personal.
11-3051.00	Gerentes de producción industrial	Examina muestras de materias primas o dirige pruebas durante el procesamiento para garantizar que el producto terminado cumple con las normas de calidad establecidas.
11-3051.00	Gerentes de producción industrial	Revisa planes y se reúne con personal de investigación y de soporte para desarrollar nuevos productos y procesos o la calidad de productos ya existentes.
11-3051.00	Gerentes de producción industrial	Analiza informes de producción, control de calidad, mantenimiento, entre otros informes de operaciones para detectar problemas de producción.
11-3051.00	Gerentes de producción industrial	Revisa operaciones y se reúne con personal técnico o administrativo para resolver problemas de producción o procesamiento.
11-3051.00	Gerentes de producción industrial	Negocia con proveedores los precios de materiales.
11-3051.00	Gerentes de producción industrial	Inicia y coordina programas de inventarios y de control de costos.
11-3051.00	Gerentes de producción industrial	Revisa programas de procesamiento y órdenes de producción para determinar necesidades de personal, procedimientos de trabajo y asignaciones del trabajo.
11-3061.00	Gerentes de compras	Dirige y coordina las actividades del personal encargado de comprar, vender y distribuir materiales, equipos, maquinaria e insumos.
11-3061.00	Gerentes de compras	Desarrolla y aplica reglamentos, políticas y procedimientos de sistemas, operaciones y oficinas.
11-3061.00	Gerentes de compras	Lleva a cabo inventarios y dirige a los compradores en la compra de productos, materiales e insumos.
11-3061.00	Gerentes de compras	Determina los costos de la mercancía; formula y coordina políticas y actividades de comercialización para garantizar las ganancias.
11-3061.00	Gerentes de compras	Representa a la compañía en la formulación de políticas y en la negociación de contratos con proveedores.
11-3061.00	Gerentes de compras	Prepara, revisa y tramita pedidos y órdenes de compra de insumos y equipos.
11-3061.00	Gerentes de compras	Analiza mercados y sistemas de entrega para determinar la disponibilidad presente y futura de los materiales.
11-3061.00	Gerentes de compras	Prepara informes relacionados con condiciones del mercado y costos de mercancía.
11-3071.01	Gerentes de transporte	Dirige y coordina, mediante subordinados, las actividades del departamento de operaciones a fin de hacer uso de equipos, instalaciones y recursos humanos.
11-3071.01	Gerentes de transporte	Participa en negociaciones de contratos colectivos de trabajo y en la determinación de agravios.
11-3071.01	Gerentes de transporte	Negocia y autoriza contratos con proveedores de materiales y equipos.
11-3071.01	Gerentes de transporte	Supervisa el proceso de abastecimiento, incluyendo la investigación y verificación del equipo, contratos con vendedores y aprobación de pedidos.
11-3071.01	Gerentes de transporte	Inspecciona o supervisa reparaciones y mantenimiento de equipos, vehículos e instalaciones a fin de garantizar el cumplimiento de normas de seguridad, eficiencia, limpieza y presentación.
11-3071.01	Gerentes de transporte	Actúa como representante de la empresa ante comisiones u órganos reguladores durante audiencias, tales como: incrementar las tasas y cambiar rutas y programas.
11-3071.01	Gerentes de transporte	Supervisa a empleados que asignan clasificaciones de aranceles y que preparan las facturas de acuerdo al tipo de transporte y destino del cargamento.
11-3071.01	Gerentes de transporte	Supervisa el proceso de investigación y de respuesta a las reclamaciones de clientes o exportadores relacionadas con el departamento de operaciones.
11-3071.01	Gerentes de transporte	Recomienda o autoriza gastos de capital para la compra de nuevos equipos o inmuebles para incrementar la eficiencia y los servicios del departamento de operaciones.
11-3071.01	Gerentes de transporte	Se asegura de que el personal operativo cumpla con las políticas administrativas, procedimientos, reglas de seguridad y disposiciones gubernamentales.
11-3071.01	Gerentes de transporte	Revisa los programas de transporte, responsabilidades de los empleados y rutas para garantizar el cumplimiento con las normas de selección de personal, seguridad y términos de contratos colectivos de trabajo.
11-3071.01	Gerentes de transporte	Realiza investigaciones en coordinación con dependencias gubernamentales para determinar las causas de accidentes de transporte y para mejorar las medidas de seguridad.
11-3071.01	Gerentes de transporte	Prepara recomendaciones para la administración, tales como: la necesidad de incrementar tarifas de transporte, aranceles, o bien, expandir o cambiar programas existentes.
