ELEMENT ID	ELEMENT NAME	DESCRIPTION
1.A.1.f.2	Visualización	La aptitud para imaginar cómo lucirá algo después de que se mueva de lugar o cuando las partes que lo componen se muevan o se cambien.
1.A.1.g	Atención	Las aptitudes relacionadas con poner atención.
1.A.1.g.1	Atención selectiva	La aptitud para concentrarse en una tarea en un periodo de tiempo, sin distraerse.
1.A.1.g.2	Dividir el tiempo	La aptitud para cambiar de un lado a otro entre dos o más actividades o fuentes de información (como de una plática o conversación, sonidos, tacto o contácto físico, u otras fuentes).
1.A.2	Aptitudes psicomotrices	Aptitudes que influyen en la capacidad para manipular y controlar objetos.
1.A.2.a	Aptitudes para manipulaciones delicadas	Aptitudes relacionadas con la manipulación de objetos.
1.A.2.a.1	Pulso firme	La aptitud para mantener su mano y brazo firmes mientras mueve el brazo o mientras sostiene el brazo y la mano en una sola posición.
1.A.2.a.2	Destreza manual	La aptitud para mover su mano rápidamente, su mano junto con su brazo, o sus dos manos conjuntamente para agarrar, manipular, o armar objetos.
1.A.2.a.3	Destreza con los dedos	La aptitud para realizar movimientos precisos y coordinados con los dedos de una o ambas manos para agarrar, manipular, o armar objetos muy pequeños.
1.A.2.b	Aptitudes para controlar el movimiento	Aptitudes relacionadas con el control y manipulación de objetos en el tiempo y espacio.
1.A.2.b.1	Precisión de control	La aptitud para ajustar rápidamente y en repetidas ocasiones los controles de una máquina o un vehículo en sus posiciones exactas.
1.A.2.b.2	Coordinación múltiple de las extremidades	La aptitud para coordinar dos o más extremidades (por ejemplo, dos brazos, dos piernas, o una pierna y un brazo) mientras se está sentado, de pie, o acostado. No implica realizar las actividades mientras todo el cuerpo está en movimiento.
1.A.2.b.3	Orientación de la respuesta	La aptitud para elegir rápidamente entre dos o más movimientos en respuesta a dos o más señales o estímulos diferentes (luces, sonidos, imágenes). Incluye la velocidad con la que se inicia la respuesta correcta, con la mano, pie u otra parte del cuerpo.
1.A.2.b.4	Fijar el paso	La aptitud para calcular con anticipación sus movimientos o el movimiento de una parte del equipo en relación con los cambios de velocidad y/o dirección de un objeto o imagen en movimiento.
1.A.2.c	Aptitud para reaccionar a tiempo y con rapidez	Aptitudes relacionadas con la rapidez para manipular objetos.
1.A.2.c.1	Tiempo de reacción	La aptitud para responder rápidamente (con la mano, dedo, o pie) a una señal (sonido, luz, imagen) cuando aparece.
1.A.2.c.2	Rapidez de la muñeca y los dedos	La aptitud para realizar rápidamente, simples y repetidos movimientos con los dedos, manos, y muñecas.
1.A.2.c.3	Rapidez para mover las extremidades	La aptitud para mover rápidamente los brazos y las piernas.
1.A.3	Aptitudes físicas	Aptitudes que influyen en la fuerza, resistencia, flexibilidad, equilibrio y coordinación.
1.A.3.a	Aptitudes de fuerza física	Las aptitudes relacionadas con la capacidad para emplear la fuerza.
1.A.3.a.1	Fuerza estática	La aptitud para ejercer al máximo la fuerza muscular para levantar, empujar, jalar, o cargar objetos.
1.A.3.a.2	Fuerza explosiva	La aptitud para utilizar pequeños arranques de fuerza muscular para impulsarse a sí mismo (al saltar o al correr), o para lanzar un objeto.
1.A.3.a.3	Fuerza dinámica	La aptitud para ejercer fuerza muscular repetida o continuamente por más tiempo. Esto incluye resistencia muscular y resistencia a la fatiga muscular.
1.A.3.a.4	Fuerza del tronco	La aptitud para utilizar su abdomen y los músculos bajos de la espalda para apoyar parte del cuerpo repetida o continuamente por más tiempo sin fallar o fatigarse.
1.A.3.b	Resistencia	La aptitud para ejercitarse físicamente durante períodos prolongados sin quedar agotado.
1.A.3.b.1	Vitalidad	La aptitud de realizar ejercicios físicos durante períodos prolongados sin quedar agotado o falto de energía.
1.A.3.c	Flexibilidad, equilibrio, y coordinación	Aptitudes relacionadas con el control de movimientos generales del cuerpo.
1.A.3.c.1	Flexibilidad extrema	La aptitud para flexionar, estirar, girar, o alcanzar objetos con su cuerpo, brazos y/o piernas.
1.A.3.c.2	Flexibilidad dinámica	La aptitud para flexionar, estirar, girar, o alcanzar  rápida y repetidamente objetos con su cuerpo, brazos, y/o piernas.
1.A.3.c.3	Coordinación de movimientos generales del cuerpo	La aptitud para coordinar conjuntamente el movimiento de sus brazos, piernas, y torso mientras todo el cuerpo está en movimiento.
1.A.3.c.4	Mantener el equilibrio	La aptitud para mantener o recuperar el equilibrio del cuerpo o permanecer derecho en una posición inestable.
1.A.4	Aptitudes sensoriales	Aptitudes que influyen en la percepción visual, auditiva y oral.
1.A.4.a	Aptitudes visuales	Aptitudes relacionadas con la percepción visual.
1.A.4.a.1	Visión de cerca	La aptitud para observar detalles de cerca (a unos cuantos pasos del observador).
1.A.4.a.2	Visión de lejos	La aptitud para observar detalles a distancia.
1.A.4.a.3	Discernimiento visual de colores	La aptitud para combinar colores o detectar diferencias entre colores, incluyendo los diferentes matices y brillos.
1.A.4.a.4	Visión nocturna	La aptitud de poder ver cuando la luz es escasa.
1.A.4.a.5	Visión periférica	La aptitud para detectar la presencia o el movimiento de objetos ubicados a los lados cuando los ojos están mirando al frente.
1.A.4.a.6	Percepción de profundidad	La aptitud para calcular cuál de varios objetos se encuentra mas distante o cercano, o para calcular la distancia entre la posición en que uno se encuentra y un objeto próximo.
1.A.4.a.7	Sensibilidad al reflejo de la luz	La aptitud para ver objetos en presencia de luz intensa o brillante.
1.A.4.b	Aptitudes auditivas y orales	Aptitudes relacionadas con información auditiva y oral.
1.A.4.b.1	Sensibilidad auditiva	La aptitud para detectar las diferencias entre sonidos que varían en tono e intensidad.
1.A.4.b.2	Atención auditiva	La aptitud para concentrarse en un sólo sonido en presencia de otros sonidos de distracción.
1.A.4.b.3	Localización del sonido	La aptitud para indicar la dirección de donde proviene un sonido.
1.A.4.b.4	Reconocimiento del habla	La aptitud para identificar y entender el habla de otra persona.
1.A.4.b.5	Claridad al hablar	La aptitud para hablar claramente y que otros puedan entenderlo.
1.B	Intereses	Preferencias por ambiente de trabajo y resultados del mismo.
1.B.1	Intereses profesionales	Los perfiles de los intereses profesionales (PIP) son compatibles con el modelo de Holland (1985,1997) de los tipos de personalidad y condiciones de trabajo. Se utilizan seis categorías de interés para describir los ambientes laborales de las profesiones: realista, investigadora, artística, social, emprendedora, y convencional. Un PIP consiste en seis resultados numéricos que indican que tan descriptivo y característico resulta cada ambiente laboral (o área de interés) para una ocupación de O*NET-SOC. Además, el punto máximo de un perfil se ha designado para indicar qué intereses son los más característicos de una ocupación O*NET-SOC. El punto culminante de un perfil consta de uno a tres códigos de interés, dependiendo de cuántas categorías de interés reúna el grado mínimo de descripción de la ocupación.
1.B.1.a	Realista	Las profesiones realistas por lo regular involucran actividades de trabajo que incluyen problemas prácticos y soluciones. Tratan a menudo con plantas, animales, y materiales como madera, herramientas, y maquinaria. Varias de estas profesiones requieren trabajar al aire libre, y no involucran mucho papeleo o trabajar conjuntamente con otros.
1.B.1.b	Investigadora	Las profesiones investigativas involucran por lo regular el trabajar con ideas, y requieren pensar mucho. Estas profesiones pueden incluir la búsqueda objetiva de datos e información además de poder comprender mentalmente un problema.
1.B.1.c	Artística	Las profesiones artísticas por lo regular incluyen el trabajar con formatos, diseños y modelos. En general requieren la autoexpresión y el trabajo puede realizarse sin seguir un conjunto claro de reglas.
1.B.1.d	Social	Las profesiones sociales por lo regular incluyen el trabajar con, comunicarse con, y enseñar a otras personas. Estas profesiones incluyen a menudo el ayudar o proporcionar servicio a otros.
1.B.1.e	Emprendedora	Las profesiones emprendedoras por lo regular involucran el iniciar y llevar a cabo proyectos. Estas profesiones pueden involucrar asumir liderazgo de otras personas y tomar muchas decisiones. A veces requieren tomar riesgos y a menudo tratan con negocios.
1.B.1.f	Convencional	Las profesiones convencionales por lo regular involucran el seguir procedimientos fijos y de rutina. Estas profesiones pueden incluir el trabajar con datos y detalles más que con ideas. Hay normalmente una línea clara de autoridad a seguir.
1.B.1.g	Punto culminante del primer interés	Primer rango descriptivo
1.B.1.h	Punto culminante del segundo interés	Límite secundario/rango descriptivo
1.B.1.i	Punto culminante del tercer interés	Límite terciario/rango descriptivo
1.B.2	Valores profesionales	Los patrones de refuerzo profesional (PRP) indican qué valores de trabajo y necesidades en el trabajo tienen mayor probabilidad de ser  satisfechos y reforzados por una profesión O*NET-SOC en particular. El uso de valores de trabajo para describir ocupaciones se basa en la teoría de ajuste al trabajo (TAT) que se desarrolló durante el proyecto de ajuste al trabajo en la Universidad de Minnesota con subsidios de investigación del Departamento de Salud, Educación y Bienestar de EUA (Dawis, R.V., Inglaterra, G.W., & Lofquist, L.H., 1964; Dawis, R.V., & Lofquist L. H., 1984).  Esta teoría propone que la satisfacción en el trabajo está directamente relacionada al grado en el que los valores de una persona y las necesidades correspondientes se satisfacen a través de su ambiente de trabajo. El TAT identifica seis valores del trabajo, cada uno con su correspondiente conjunto de necesidades. Cada profesión O*NET-SOC tiene un PRP que consta de: 1) 6 resultados numéricos que indican hasta que punto cada valor de trabajo está reforzado; y 2) 21 resultados numéricos que indican hasta que punto cada necesidad está reforzada.
1.B.2.a	Magnitud del promedio del logro	Las profesiones que satisfacen este valor de trabajo están enfocadas en obtener buenos resultados y permiten a los empleados utilizar sus mejores aptitudes, proporcionándoles la satisfacción de haber alcanzado una meta. Las necesidades correspondientes son la utilización de las aptitudes propias y el logro.
1.B.2.a.1	Uso de la aptitud	Los trabajadores en este trabajo utilizan sus aptitudes individuales.
1.B.2.a.2	Logro	Los trabajadores en este trabajo tienen la satisfacción de haber alcanzado una meta.
1.B.2.b	Magnitud del Promedio de las Condiciones de Trabajo	Las profesiones que satisfacen este valor del trabajo proporcionan estabilidad y buenas condiciones del mismo. Las necesidades correspondientes son actividad, compensación, independencia, seguridad, variedad y condiciones de trabajo.
1.B.2.b.1	Actividad	Los empleados en este trabajo están ocupados todo el tiempo.
1.B.2.b.2	Independencia	Los empleados en este trabajo realizan sus labores solos.
1.B.2.b.3	Variedad	Los empleados en este trabajo tienen algo diferente que hacer todos los días.
1.B.2.b.4	Compensación	Los empleados en este trabajo están bien pagados en comparación con otros trabajadores.
1.B.2.b.5	Seguridad	Los empleados en este trabajo tienen un empleo estable.
1.B.2.b.6	Condiciones de trabajo	Los empleados en este trabajo tienen buenas condiciones de trabajo.
1.B.2.c	Magnitud del promedio del reconocimiento	Las profesiones que satisfacen este valor de trabajo ofrecen posibilidades de ascenso y de alcanzar posiciones de liderazgo, y por lo regular son consideradas de prestigio. Las necesidades correspondientes son ascenso, autoridad, reconocimiento y posición social.
1.B.2.c.1	Ascenso	Los empleados en este trabajo tienen oportunidades de progresar.
1.B.2.c.2	Reconocimiento	Los empleados en este trabajo reciben reconocimiento por el trabajo que hacen.
1.B.2.c.3	Autoridad	Los empleados en este trabajo dan órdenes e instrucciones a otros.
1.B.2.c.4	Posición social	Los empleados en este trabajo son respetados por los otros empleados de su compañía y por los miembros de su comunidad.
1.B.2.d	Magnitud del promedio de las relaciones	Las profesiones que satisfacen este valor de trabajo permiten a los empleados dar un servicio a otros y trabajar con sus compañeros en un ambiente amigable y no competitivo. Las necesidades correspondientes son compañeros de trabajo, valores morales y servicio social.
1.B.2.d.1	Compañeros de trabajo	Los empleados en este trabajo tienen compañeros con los cuales es fácil llevarse bien.
1.B.2.d.2	Servicio social	En este trabajo, los empleados realizan actividades para otras personas.
1.B.2.d.3	Valores morales	En este trabajo, nunca se presiona a los empleados a que hagan cosas que van en contra de sus creencias personales respecto a lo que consideran moralmente correcto e incorrecto.
1.B.2.e	Magnitud del apoyo	En las profesiones que satisfacen este valor de trabajo, los ejecutivos de la empresa respaldan a sus empleados. Las necesidades correspondientes son políticas de la compañía, supervisión: relaciones humanas y supervisión: técnica.
1.B.2.e.1	Políticas y prácticas de la compañía	Los empleados en este trabajo son tratados de una forma justa por la compañía.
1.B.2.e.2	Supervisión, relaciones humanas	Los empleados en este trabajo tienen supervisores que apoyan a sus empleados frente a la gerencia.
1.B.2.e.3	Supervisión técnica	Los trabajadores en este trabajo tienen supervisores que entrenan bien a sus trabajadores.
1.B.2.f	Importancia de la magnitud del promedio de independencia	Las profesiones que satisfacen este valor de trabajo permiten a los empleados trabajar por si mismos y tomar decisiones. Las necesidades correspondientes son creatividad, responsabilidad y autonomía.
1.B.2.f.1	Creatividad	Los trabajadores en este trabajo ponen a prueba sus propias ideas.
1.B.2.f.2	Responsabilidad	Los trabajadores en este trabajo toman decisiones por si mismos.
1.B.2.f.3	Autonomía	Los trabajadores en este trabajo planean su trabajo con poca supervisión.
1.C	Estilos de trabajo	Estilos de trabajo.
1.C.1	Orientación al logro	El trabajo requiere establecer metas personales, cumplirlas satisfactoriamente, y esforzarse para ser competente en el trabajo.
1.C.1.a	Logro/esfuerzo	El trabajo requiere establecer y mantener metas  que representen un reto personal y esforzarse para dominar las tareas.
1.C.1.b	Perseverancia	El trabajo requiere perseverancia ante los obstáculos.
1.C.1.c	Iniciativa	El trabajo requiere la disposición personal para asumir responsabilidades y retos.
1.C.2	Influencia social	El trabajo requiere tener un impacto en otros en la organización, demostrando energía y liderazgo.
1.C.2.b	Liderazgo	El trabajo requiere disposición para dirigir, hacerse cargo y dar opiniones e instrucciones.
1.C.3	Orientación interpersonal	El trabajo requiere ser agradable, cooperativo, sensible a las necesidades de otros, fácil de llevarse bien y sociable con los otros miembros de la organización.
1.C.3.a	Cooperación	El trabajo requiere ser agradable con otros en el trabajo y demostrar buena voluntad y deseos de cooperar.
1.C.3.b	Preocupación por otros	El trabajo requiere ser sensitivo a las necesidades y sentimientos de los otros y de ser comprensible y amable en el trabajo.
1.C.3.c	Orientación social	El trabajo requiere que se prefiera trabajar con otros a trabajar sólo, y sentirse vinculado personalmente con otros en el trabajo.
1.C.4	Adaptación	El trabajo requiere madurez, serenidad, flexibilidad, y compostura para saber sobrellevar la presión, el estrés, la crítica, contratiempos, problemas personales y relacionados con el trabajo, etc.,
1.C.4.a	Autocontrol	El trabajo requiere mantener la calma, controlar las emociones, el enojo, y evitar una conducta agresiva, incluso en situaciones muy difíciles.
1.C.4.b	Tolerar el estrés	El trabajo requiere aceptar la crítica y manejar calmada y eficazmente las situaciones de gran estrés.
1.C.4.c	Adaptabilidad/flexibilidad	El trabajo requiere estar dispuesto al cambio (positivo o negativo) y a la variedad considerable del lugar de trabajo.
1.C.5	Dedicación	El trabajo requiere confiabilidad, compromiso para realizar el trabajo correcta y cuidadosamente, y ser digno de confianza, responsable, y atento a los detalles.
1.C.5.a	Confiabilidad	El trabajo requiere ser confiable, responsable, y digno de confianza, y cumplir con las obligaciones.
1.C.5.b	Atención al detalle	El trabajo requiere ser cuidadoso respecto al detalle y esmerado para completar las tareas del trabajo.
1.C.5.c	Integridad	El trabajo requiere ser honesto y ético.
1.C.6	Independencia	El trabajo requiere desarrollar las propias maneras de hacer uno las cosas, guiarse a sí mismo con poca o ninguna supervisión, y depender de sí mismo para hacer las cosas.
1.C.7	Inteligencia práctica	El trabajo requiere generar ideas útiles y pensar las cosas lógicamente.
1.C.7.a	Innovación	El trabajo requiere creatividad y una forma de pensar diferente que permita el desarrollo de nuevas ideas y la búsqueda de respuestas a los problemas relacionados con el trabajo.
1.C.7.b	Mente analítica	El trabajo requiere analizar información y usar la lógica para enfrentar los asuntos y los problemas relacionados con el trabajo.
2	Requisitos del trabajador	Requisitos del trabajador
2.A	Habilidades básicas	Desarrollar capacidades que faciliten el aprendizaje o la adquisición más rápida del conocimiento.
2.A.1	Contenido	El bagaje necesario para trabajar y adquirir habilidades más específicas en una variedad de campos diferentes.
2.A.1.a	Comprensión de lectura	Entender oraciones y párrafos escritos en documentos relacionados con el trabajo.
2.A.1.b	Audición Participativa	Prestar toda la atención a lo qué otras personas dicen, tomándose el tiempo necesario para entender los argumentos expuestos, realizar preguntas según sea apropiado, y no interrumpir en momentos inapropiados.
2.A.1.c	Escribir	Comunicarse eficazmente por escrito y de acuerdo con las necesidades de los lectores.
2.A.1.d	Hablar	Hablar con otros para transmitir la información eficazmente.
2.A.1.e	Matemáticas	Utilizar las matemáticas para resolver problemas.
2.A.1.f	Ciencia	Utilizar reglas científicas y métodos para resolver problemas.
2.A.2	Proceso	Procedimientos que contribuyen a la adquisición más rápida del conocimiento y habilidad para el manejo de una variedad de funciones.
2.A.2.a	Razonamiento crítico	Usar la lógica y el razonamiento para identificar las virtudes y los defectos de soluciones alternativas, conclusiones o propuestas a los problemas.
2.A.2.b	Aprendizaje activo	Entender las implicaciones de la nueva información recibida tanto para resolver problemas como para tomar decisiones en el presente y en el futuro.
2.A.2.c	Estrategias para el aprendizaje	Seleccionar y utilizar métodos de formación e instrucción y procedimientos adecuados a la situación cuando se aprenden o se enseñan nuevas cosas.
2.A.2.d	Supervisión	Supervisar/evaluar el desempeño laboral propio o de otros individuos u organizaciones para implementar mejoras o llevar a cabo acciones correctivas.
2.B	Destrezas multi-funcionales	Capacidades desarrolladas para facilitar el desempeño de actividades que se suscitan en diferentes tipos de trabajos.
2.B.1	Destrezas sociales	Capacidades desarrolladas para trabajar con otras personas para así alcanzar metas.
2.B.1.a	Perspicacia social	Ser consciente de las reacciones de otros y entender por qué reaccionan de esa forma.
2.B.1.b	Coordinación	Ajustar las acciones propias en relación con las acciones de otros.
2.B.1.c	Persuasión	Persuadir a otros para que cambien su forma de pensar o su comportamiento.
2.B.1.d	Negociación	Unir a otros y tratar de conciliar las diferencias.
2.B.1.e	Instruir	Enseñar a otros como hacer algo.
2.B.1.f	Orientación al servicio	Buscar activamente formas para ayudar a otras personas.
2.B.2	Destrezas para resolver problemas complejos	Capacidades desarrolladas para resolver problemas novedosos y pobremente definidos en situaciones complejas y reales.
2.B.2.i	Resolver problemas complejos	Identificar problemas complejos y revisar la información relacionada para desarrollar y evaluar opciones e implementar soluciones.
2.B.3	Habilidades técnicas	Desarrollar capacidades que se utilicen para diseñar, crear, operar, y corregir malos funcionamientos que involucran la aplicación de sistemas técnicos o de máquinas.
2.B.3.a	Análisis de operaciones	Analizar las necesidades y requisitos del producto para crear un diseño.
2.B.3.b	Diseño de tecnología	Generar o adaptar equipo y tecnología que cubran las necesidades del usuario.
2.B.3.c	Selección de equipo	Determinar el tipo de herramientas y equipo necesarios para realizar un trabajo.
2.B.3.d	Instalación	Instalar equipo, máquinas, cables o programas que cumplan con las especificaciones.
2.B.3.e	Programación	Diseñar programas de computación para varios propósitos.
2.B.3.g	Vigilancia de operaciones	Verificar indicadores, cuadrantes u otros instrumentos para asegurarse que una máquina está trabajando adecuadamente.
2.B.3.h	Operación y control	Controlar la operación del equipo o de los sistemas.
2.B.3.j	Mantenimiento del equipo	Dar mantenimiento constante al equipo y determinar cuando y qué tipo de mantenimiento se requiere.
2.B.3.k	Resolver imprevistos	Determinar las causas de errores de operación y decidir qué hacer al respecto.
2.B.3.l	Reparar	Reparar máquinas o sistemas utilizando las herramientas necesarias.
2.B.3.m	Análisis del control de calidad	Realizar pruebas e inspecciones de productos, servicios, o procesos para evaluar su calidad o funcionamiento.
2.B.4	Destrezas de sistemas	Capacidades desarrolladas para utilizar, entender, supervisar, y mejorar los sistemas socio-técnicos.
2.B.4.e	Criterio y toma de decisiones	Comparar los costos y los beneficios relativos de diferentes alternativas para así elegir la más apropiada.
2.B.4.g	Análisis de sistemas	Determinar como debe trabajar un sistema y cómo los cambios en las condiciones, en el funcionamiento y en el ambiente afectarán los resultados.
2.B.4.h	Evaluación de sistemas	Identificar las medidas o indicadores del funcionamiento apropiado del sistema y las acciones que se requieren para mejorar o corregir el funcionamiento del mismo en relación con los objetivos del sistema.
2.B.5	Destrezas de manejo de recursos	Capacidades desarrolladas para asignar los recursos eficientemente.
2.B.5.a	Administración del tiempo	Administrar el tiempo de uno mismo y el tiempo de otros.
2.B.5.b	Administración de recursos financieros	Determinar cómo se gastará el dinero para que se realice el trabajo y también contabilizar estos gastos.
2.B.5.c	Administración de recursos materiales	Obtener y asegurar el uso apropiado del equipo, facilidades, y materiales que se requieren para hacer cierto tipo de trabajo.
2.B.5.d	Administración de los recursos del personal	Motivar y dirigir a los empleados así como también promover su desarrollo; identificar a los mejores candidatos para realizar el trabajo.
2.C	Conocimiento	Una serie de principios y teorías que se aplican en campos generales.
2.C.1	Negocio y administración	Conocimiento de principios y hechos relacionados con la administración de negocios y contabilidad, administración de recursos humanos y materiales en organizaciones, ventas y mercadotecnia, economía, y sistemas de información y organización de oficinas.
2.C.1.a	Administración y dirección	Conocimiento de principios de negocios y de administración que se utilizan en la planeación estratégica, asignación de recursos, modelo de recursos humanos, técnicas de liderazgo, métodos de producción, y coordinación de personas y de recursos.
2.C.1.b	De oficina	Conocimiento de procedimientos administrativos y de oficina y de sistemas tales como procesador de palabras, manejo de archivos y documentos, estenografía y transcripción, diseño de formas, y otros procedimientos y terminología utilizados en la oficina.
2.C.1.c	Economía y contabilidad	Conocimiento de principios y prácticas de economía y contabilidad, mercados financieros, banca y análisis y reporte de datos financieros.
2.C.1.d	Ventas y mercadotecnia	Conocimiento de principios y métodos para mostrar, promover, y vender productos o servicios. Esto incluye estrategias y tácticas de mercadotecnia, demostración del producto, técnicas de ventas, y sistemas de control de ventas.
2.C.1.e	Servicio personal al cliente	Conocimiento de principios y procesos para proporcionar al cliente con servicios personales. Esto incluye analizar las necesidades del cliente, cumplir con las normas estándares de calidad de los servicios y evaluar la satisfacción del cliente.
2.C.1.f	Recursos humanos y de personal	Conocimiento de principios y procedimientos para buscar, seleccionar y entrenar personal; compensación y beneficios, relaciones y negociaciones laborales, y sistemas de información sobre recursos humanos.
2.C.10	Transporte	Conocimiento de principios y métodos para transportar a personas o productos por aire, ferrocarril, mar o caminos, incluyendo los costos relativos y los beneficios.
2.C.2	Fabricación y producción	Conocimiento de principios y hechos relacionados con la producción, proceso, almacenamiento, y distribución de productos manufacturados y agrícolas.
2.C.2.a	Producción y procesamiento	Conocimiento de materias primas, procesos de producción, control de calidad, costos, y otras técnicas para máximizar la producción y distribución efectiva de productos.
2.C.2.b	Producción de alimentos	Conocimiento de técnicas y de equipo para plantar, crecer, y cosechar productos alimenticios (vegetal y animal) para el consumo, incluyendo técnicas de almacenamiento/manejo.
2.C.3	Ingeniería y tecnología	Conocimiento de diseño, desarrollo, y aplicación de tecnología con propósitos específicos.
2.C.3.a	Computadoras y electrónicos	Conocimiento de tableros de circuito, procesadores, chips, equipo electrónico, hardware y software, incluyendo aplicaciones y programación.
2.C.3.b	Ingeniería y tecnología	Conocimiento sobre como aplicar prácticamente conceptos de ingeniería y tecnología. Esto incluye aplicar principios, técnicas, procedimientos, y equipo al diseño y producción de diferentes productos y servicios.
2.C.3.c	Diseño	Conocimiento de técnicas de diseño, herramientas, y principios que se utilizan en la producción de planes técnicos de precisión, planos, dibujos, y modelos.
2.C.3.d	Construcción	Conocimiento de materiales, métodos y herramientas que se utilizan para construir o reparar casas, edificios, u otras estructuras tales como carreteras y caminos.
2.C.3.e	Mecánica	Conocimiento de máquinas y herramientas, incluyendo sus diseños, usos, reparación y mantenimiento.
2.C.4	Matemáticas y ciencia	Conocimiento de la historia, teorías, métodos y aplicaciones de las ciencias físicas, biológicas, sociales, matemáticas y geográficas.
2.C.4.a	Matemáticas	Conocimiento de aritmética, álgebra, geometría, cálculo, estadística y de sus aplicaciones.
2.C.4.b	Física	Conocimiento y predicción de principios físicos, leyes, sus interrelaciones y aplicaciones para entender las dinámicas de fluido, materiales y atmosféricas, y estructuras y procesos mecánicos, eléctricos, atómicos y sub-atómicos.
2.C.4.c	Química	Conocimiento de la composición química, estructura y propiedades de substancias y de procesos químicos y de las transformaciones que estos sufren. Esto incluye el uso de químicos y sus interacciones, signos de peligro, técnicas de producción y eliminación de desperdicios.
2.C.4.d	Biología	Conocimiento de plantas y organismos animales, sus tejidos, células, funciones, interdependencias e interacciones entre sí y el medio ambiente.
2.C.4.e	Psicología	Conocimiento de la conducta y el desempeño humanos; diferencias individuales respecto a la aptitud, personalidad e intereses; aprendizaje y motivación; métodos de investigación psicológica; evaluación y tratamiento de desórdenes afectivos y del comportamiento.
2.C.4.f	Sociología y antropología	Conocimiento de la conducta y dinámicas de grupo, tendencias e influencias sociales, migraciones humanas, etnia, orígenes e historia de las culturas.
2.C.4.g	Geografía	Conocimiento de principios y métodos para describir las características de la tierra, del mar y de las masas de aire, incluyendo sus características físicas, ubicaciones, interrelaciones y distribución de la vida vegetal, animal y humana.
